"payment_id","subscription_id","payment_date","amount_usd","method"
1,1,2024-07-25 00:00:00.000,10.00,card
2,1,2024-08-24 00:00:00.000,10.00,paypal
3,1,2024-09-23 00:00:00.000,10.00,apple_pay
4,1,2024-10-23 00:00:00.000,10.00,paypal
5,1,2024-11-22 00:00:00.000,10.00,card
6,1,2024-12-22 00:00:00.000,10.00,card
7,1,2025-01-21 00:00:00.000,10.00,card
8,1,2025-02-20 00:00:00.000,10.00,card
9,1,2025-03-22 00:00:00.000,10.00,apple_pay
10,1,2025-04-21 00:00:00.000,10.00,paypal
11,1,2025-05-21 00:00:00.000,10.00,card
12,1,2025-06-20 00:00:00.000,10.00,apple_pay
13,1,2025-07-20 00:00:00.000,10.00,paypal
14,1,2025-08-19 00:00:00.000,10.00,google_pay
15,2,2024-04-19 00:00:00.000,10.00,google_pay
16,2,2024-05-19 00:00:00.000,10.00,card
17,2,2024-06-18 00:00:00.000,10.00,card
18,2,2024-07-18 00:00:00.000,10.00,card
19,2,2024-08-17 00:00:00.000,10.00,apple_pay
20,2,2024-09-16 00:00:00.000,10.00,google_pay
21,2,2024-10-16 00:00:00.000,10.00,card
22,2,2024-11-15 00:00:00.000,10.00,paypal
23,2,2024-12-15 00:00:00.000,10.00,card
24,2,2025-01-14 00:00:00.000,10.00,card
25,2,2025-02-13 00:00:00.000,10.00,card
26,2,2025-03-15 00:00:00.000,10.00,card
27,2,2025-04-14 00:00:00.000,10.00,apple_pay
28,2,2025-05-14 00:00:00.000,10.00,card
29,2,2025-06-13 00:00:00.000,10.00,paypal
30,2,2025-07-13 00:00:00.000,10.00,card
31,2,2025-08-12 00:00:00.000,10.00,paypal
32,2,2025-09-11 00:00:00.000,10.00,apple_pay
33,3,2023-11-04 00:00:00.000,10.00,card
34,3,2023-12-04 00:00:00.000,10.00,card
35,6,2025-01-10 00:00:00.000,10.00,apple_pay
36,6,2025-02-09 00:00:00.000,10.00,google_pay
37,7,2024-06-01 00:00:00.000,10.00,apple_pay
38,7,2024-07-01 00:00:00.000,10.00,apple_pay
39,7,2024-07-31 00:00:00.000,10.00,card
40,7,2024-08-30 00:00:00.000,10.00,card
41,7,2024-09-29 00:00:00.000,10.00,google_pay
42,7,2024-10-29 00:00:00.000,10.00,apple_pay
43,7,2024-11-28 00:00:00.000,10.00,card
44,7,2024-12-28 00:00:00.000,10.00,card
45,7,2025-01-27 00:00:00.000,10.00,card
46,7,2025-02-26 00:00:00.000,10.00,apple_pay
47,7,2025-03-28 00:00:00.000,10.00,google_pay
48,7,2025-04-27 00:00:00.000,10.00,card
